timestamps population node_ids
999.3999999997388 LUT 2
49.50000000009933 LUT 3
54.50000000009904 LUT 3
58.000000000098844 LUT 3
61.00000000009867 LUT 3
63.800000000098514 LUT 3
66.50000000009837 LUT 3
69.30000000009821 LUT 3
72.00000000009805 LUT 3
74.8000000000979 LUT 3
77.70000000009773 LUT 3
80.50000000009757 LUT 3
83.6000000000974 LUT 3
87.0000000000972 LUT 3
91.00000000009697 LUT 3
96.20000000009668 LUT 3
112.10000000009578 LUT 3
116.40000000009553 LUT 3
119.70000000009534 LUT 3
123.30000000009514 LUT 3
127.6000000000949 LUT 3
133.80000000009616 LUT 3
167.70000000010387 LUT 3
172.80000000010503 LUT 3
176.2000000001058 LUT 3
180.1000000001067 LUT 3
183.30000000010742 LUT 3
186.3000000001081 LUT 3
189.4000000001088 LUT 3
192.80000000010958 LUT 3
196.8000000001105 LUT 3
201.2000000001115 LUT 3
204.60000000011226 LUT 3
207.60000000011294 LUT 3
210.80000000011367 LUT 3
214.5000000001145 LUT 3
219.00000000011553 LUT 3
226.50000000011724 LUT 3
285.3000000001306 LUT 3
290.6000000001318 LUT 3
294.1000000001326 LUT 3
298.1000000001335 LUT 3
303.4000000001347 LUT 3
364.0000000001485 LUT 3
369.3000000001497 LUT 3
372.8000000001505 LUT 3
376.8000000001514 LUT 3
382.1000000001526 LUT 3
454.10000000016896 LUT 3
459.40000000017017 LUT 3
462.90000000017096 LUT 3
465.90000000017164 LUT 3
468.9000000001723 LUT 3
471.800000000173 LUT 3
475.0000000001737 LUT 3
478.60000000017453 LUT 3
482.9000000001755 LUT 3
489.30000000017696 LUT 3
594.0000000001075 LUT 3
599.4000000001026 LUT 3
602.9000000000995 LUT 3
606.9000000000958 LUT 3
612.200000000091 LUT 3
752.6999999999632 LUT 3
756.6999999999596 LUT 3
759.9999999999566 LUT 3
762.9999999999538 LUT 3
765.8999999999512 LUT 3
768.8999999999485 LUT 3
772.0999999999456 LUT 3
775.7999999999422 LUT 3
780.2999999999381 LUT 3
788.099999999931 LUT 3
805.0999999999156 LUT 3
809.6999999999114 LUT 3
812.9999999999084 LUT 3
816.699999999905 LUT 3
821.2999999999008 LUT 3
839.5999999998842 LUT 3
842.9999999998811 LUT 3
846.1999999998782 LUT 3
849.0999999998755 LUT 3
851.899999999873 LUT 3
854.7999999998704 LUT 3
857.8999999998675 LUT 3
861.3999999998643 LUT 3
865.5999999998605 LUT 3
871.4999999998552 LUT 3
954.19999999978 LUT 3
958.2999999997762 LUT 3
961.5999999997732 LUT 3
964.5999999997705 LUT 3
967.3999999997679 LUT 3
970.0999999997655 LUT 3
972.8999999997629 LUT 3
975.5999999997605 LUT 3
978.4999999997578 LUT 3
981.1999999997554 LUT 3
983.8999999997529 LUT 3
986.6999999997504 LUT 3
989.3999999997479 LUT 3
992.1999999997454 LUT 3
994.8999999997429 LUT 3
997.5999999997405 LUT 3
50.0000000000993 LUT 4
55.10000000009901 LUT 4
58.700000000098804 LUT 4
61.80000000009863 LUT 4
64.80000000009846 LUT 4
67.6000000000983 LUT 4
70.40000000009815 LUT 4
73.30000000009798 LUT 4
76.4000000000978 LUT 4
79.30000000009764 LUT 4
82.40000000009746 LUT 4
